107-06-09    11:13                                            Page      1.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
 _  EC501D1  PKGE      1028    .06%    .01% 00:01.618537 00:00.161587       2269
 _  PW01A    PKGE      4753    .02%    .01% 00:00.626035 00:00.159422       2912
 _  TA282D1  PKGE      5286    .00%    .01% 00:00.222034 00:00.158925       1768
 _  AC003R1  PKGE      1852    .01%    .01% 00:00.327549 00:00.158520       4775
 _  AL514D1  PKGE      1293    .02%    .01% 00:00.523676 00:00.157127       3287
 _  NM050D1  PKGE       990    .02%    .01% 00:00.479258 00:00.156349       3942
 _  TA110D1  PKGE      1767    .00%    .01% 00:00.204368 00:00.155703       3372
 _  TA179D1  PKGE      7770    .01%    .01% 00:00.314496 00:00.155290       1059
 _  OR544D1  PKGE       810    .00%    .01% 00:00.214732 00:00.152179       4940
 _  OR514D2  PKGE      3111    .02%    .01% 00:00.563254 00:00.151813       2007
 _  TA178D1  PKGE      7770    .01%    .01% 00:00.288068 00:00.151621       1059
 _  TA092D1  PKGE      2574    .01%    .01% 00:00.339518 00:00.151043       2505
 _  TA376D1  PKGE      7449    .01%    .01% 00:00.310707 00:00.150655        744
 _  OR506D1  PKGE      1020    .04%    .01% 00:01.076235 00:00.150585       5499
107-06-09    11:13                                            Page      4.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
 _  TA118D1  PKGE       768    .01%    .01% 00:00.440393 00:00.149774       3972
 _  OR547D2  PKGE      3210    .03%    .01% 00:00.738112 00:00.145805       2067
 _  TA136D1  PKGE      8517    .01%    .01% 00:00.266033 00:00.145103        965
 _  TA373D1  PKGE      6465    .00%    .01% 00:00.230989 00:00.144908        723
 _  TA302D3  PKGE      5859    .02%    .01% 00:00.655930 00:00.144465       1070
 _  TA211D2  PKGE      3431    .01%    .01% 00:00.339216 00:00.143288       1880
 _  TA275D1  PKGE      7797    .01%    .01% 00:00.436030 00:00.143133       1080
 _  TA006R3  PKGE      2493    .01%    .01% 00:00.320084 00:00.143001       2319
 _  TA031R3  PKGE      2370    .01%    .01% 00:00.248431 00:00.141117       2316
 _  TA176D1  PKGE      2403    .01%    .01% 00:00.358911 00:00.138923       2682
 _  TA172D1  PKGE      1212    .01%    .01% 00:00.358566 00:00.135331        808
 _  TA091D1  PKGE      2379    .01%    .01% 00:00.444371 00:00.128204       2340
 _  AE503D1  PKGE      2130    .01%    .01% 00:00.367991 00:00.127798       2564
 _  TA252D1  PKGE      1410    .01%    .01% 00:00.448206 00:00.127140       2621
 _  SNA9010R PKGE      2675    .12%    .01% 00:02.848510 00:00.124977       2746
 _  RE72A    PKGE      1006    .07%    .01% 00:01.780386 00:00.124801       2835
 _  SNST089L PKGE       270    .21%    .01% 00:05.078223 00:00.123945       3996
 _  OR531D2  PKGE      2724    .01%    .01% 00:00.373628 00:00.123061       2642
 _  EC500D1  PKGE      2271    .04%    .01% 00:00.990423 00:00.122946        953
 _  CR34A    PKGE      3108    .04%    .01% 00:01.109620 00:00.122158       5619
 _  NM080D1  PKGE      4335    .02%    .01% 00:00.553155 00:00.120534       2890
 _  TA138R3  PKGE      2109    .00%    .01% 00:00.163441 00:00.120331       2109
 _  TA071D1  PKGE      1842    .03%    .01% 00:00.818517 00:00.119230       1834
 _  TA256D1  PKGE      2331    .00%    .01% 00:00.161529 00:00.118815       1986
 _  MK005R2  PKGE      2352    .03%    .01% 00:00.805392 00:00.118526       3667
 _  TA090R3  PKGE      2109    .01%    .01% 00:00.334934 00:00.118390       2082
 _  TA216R3  PKGE      3864    .01%    .01% 00:00.239208 00:00.117052       1386
 _  OR513D1  PKGE      1648    .02%    .01% 00:00.485343 00:00.114340       2364
 _  AL516D1  PKGE      1192    .01%    .01% 00:00.241787 00:00.109781       2352
 _  PR590D2  PKGE      2563    .00%    .01% 00:00.157225 00:00.108948       1179
 _  TA344D1  PKGE      7869    .00%    .01% 00:00.186598 00:00.108286         48
 _  PWR0001L PKGE       291    .00%    .01% 00:00.198282 00:00.107979       2033
 _  OR514D1  PKGE      1596    .02%    .01% 00:00.553748 00:00.107572       1698
 _  TA122R1  PKGE      2620    .02%    .01% 00:00.570374 00:00.107203        837
 _  OR533D2  PKGE      3447    .00%    .01% 00:00.194098 00:00.104601        919
